서울시 기준일,서울시 확진자,서울시 추가 확진,서울시 치료중,서울시 퇴원,서울시 추가 퇴원,서울시 사망,전국 기준일,전국 확진,전국 추가 확진,전국 치료중,전국 퇴원,전국 사망
2021-12-04 00:00:00,163146,2273,25818,136150,1064,1178,2021-12-04 00:00:00,467907,5352,58555,405543,3809
2021-12-03 00:00:00,160873,2099,24639,135086,1889,1148,2021-12-03 00:00:00,462555,4944,55397,403419,3739
2021-12-02 00:00:00,158774,2268,24441,133197,1330,1136,2021-12-02 00:00:00,457612,5266,53322,400585,3705
2021-12-01 00:00:00,156507,2222,23527,131867,1299,1113,2021-12-01 00:00:00,452350,5123,50368,398323,3659
2021-11-30 00:00:00,154286,1186,22618,130568,1264,1100,2021-11-30 00:00:00,447230,3032,47536,396070,3624
2021-11-29 00:00:00,153100,1393,22712,129304,510,1084,2021-11-29 00:00:00,444200,3309,47003,393617,3580
2021-11-28 00:00:00,151711,1676,21845,128794,565,1072,2021-11-28 00:00:00,440896,3928,45037,392311,3548
2021-11-27 00:00:00,150035,1888,20760,128229,1568,1046,2021-11-27 00:00:00,436968,4068,43335,390141,3492
2021-11-26 00:00:00,148147,1742,20461,126661,933,1025,2021-11-26 00:00:00,432901,3901,45910,383551,3440
2021-11-25 00:00:00,146406,1760,19674,125728,760,1004,2021-11-25 00:00:00,429002,3938,43750,381851,3401
2021-11-24 00:00:00,144647,1735,18685,124968,1020,994,2021-11-24 00:00:00,425065,4116,41325,380377,3363
2021-11-23 00:00:00,142913,1165,17992,123948,1017,973,2021-11-23 00:00:00,420950,2699,39061,378561,3328
2021-11-22 00:00:00,141748,1278,17857,122931,332,960,2021-11-22 00:00:00,418252,2827,38248,376706,3298
2021-11-21 00:00:00,140470,1320,16919,122599,684,952,2021-11-21 00:00:00,415425,3120,36396,375755,3274
2021-11-20 00:00:00,139154,1377,16298,121915,1235,941,2021-11-20 00:00:00,412311,3212,34684,374383,3244
2021-11-19 00:00:00,137777,1401,16171,120680,504,926,2021-11-19 00:00:00,409099,3034,37161,368723,3215
2021-11-18 00:00:00,136376,1429,15288,120176,805,912,2021-11-18 00:00:00,406065,3292,35300,367578,3187
2021-11-17 00:00:00,134948,1436,14679,119371,805,898,2021-11-17 00:00:00,402775,3187,33528,366089,3158
2021-11-16 00:00:00,133513,846,14057,118566,778,890,2021-11-16 00:00:00,399591,2125,31955,364499,3137
2021-11-15 00:00:00,132668,859,14001,117788,713,879,2021-11-15 00:00:00,397466,2006,31517,362834,3115
2021-11-08 00:00:00,126241,709,12994,112414,351,833,2021-11-08 00:00:00,381694,1760,30915,347799,2980
2021-11-07 00:00:00,125533,848,12642,112063,421,828,2021-11-07 00:00:00,379935,2224,30167,346801,2967
2021-11-06 00:00:00,124685,916,12221,111642,908,822,2021-11-06 00:00:00,377712,2248,29190,345566,2956
2021-11-05 00:00:00,123769,980,12217,110734,864,818,2021-11-05 00:00:00,375464,2344,29291,343237,2936
2021-11-04 00:00:00,122789,946,12105,109870,719,814,2021-11-04 00:00:00,373120,2482,28316,341888,2916
2021-11-03 00:00:00,121843,1004,11885,109151,642,807,2021-11-03 00:00:00,370640,2667,27277,340471,2892
2021-11-02 00:00:00,120840,600,11529,108509,603,802,2021-11-02 00:00:00,367974,1589,26153,338947,2874
2021-11-01 00:00:00,120240,646,11535,107906,356,799,2021-11-01 00:00:00,366386,1686,26175,337353,2858
2021-10-31 00:00:00,119594,760,11248,107550,951,796,2021-10-31 00:00:00,364700,2061,25303,336548,2849
2021-10-30 00:00:00,118834,706,11447,106599,434,788,2021-10-30 00:00:00,362639,2104,25228,334581,2830
2021-10-29 00:00:00,118128,770,11177,106165,539,786,2021-10-29 00:00:00,360536,2124,24724,332995,2817
2021-10-28 00:00:00,117358,788,10950,105626,394,782,2021-10-28 00:00:00,358412,2111,24751,330853,2808
2021-10-27 00:00:00,116572,729,10561,105232,520,779,2021-10-27 00:00:00,356305,1952,23850,329658,2797
2021-10-26 00:00:00,115844,427,10356,104712,800,776,2021-10-26 00:00:00,354355,1266,23975,327592,2788
2021-10-25 00:00:00,115417,455,10736,103912,488,769,2021-10-25 00:00:00,353089,1190,25868,324448,2773
2021-10-24 00:00:00,114962,520,10774,103424,258,764,2021-10-24 00:00:00,351899,1423,25740,323393,2766
2021-10-23 00:00:00,114442,551,10520,103166,804,756,2021-10-23 00:00:00,350476,1508,25195,322536,2745
2021-10-22 00:00:00,113891,519,10783,102362,830,746,2021-10-22 00:00:00,348969,1440,25927,320317,2725
